index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
2661;2661,081;44,35135;1683278737;5;0,41;2,05;5;0,4;2
2662;2662,081;44,36801667;1683278738;5;0,41;2,05;5;0,4;2
2663;2663,084;44,38473333;1683278739;5;0,41;2,05;5;0,4;2
2664;2664,081;44,40135;1683278740;5;0,41;2,05;5;0,4;2
2665;2665,088;44,41813333;1683278741;5;0,41;2,05;5;0,4;2
2666;2666,082;44,4347;1683278742;5;0,41;2,05;5;0,4;2
2667;2667,081;44,45135;1683278743;5;0,41;2,05;5;0,4;2
2668;2668,081;44,46801667;1683278744;5;0,41;2,05;5;0,4;2
2669;2669,081;44,48468333;1683278745;5;0,41;2,05;5;0,4;2
2670;2670,081;44,50135;1683278746;5;0,41;2,05;5;0,4;2
2671;2671,081;44,51801667;1683278747;5;0,41;2,05;5;0,4;2
2672;2672,081;44,53468333;1683278748;5;0,41;2,05;5;0,4;2
2673;2673,081;44,55135;1683278749;5;0,41;2,05;5;0,4;2
2674;2674,081;44,56801667;1683278750;5;0,41;2,05;5;0,4;2
2675;2675,081;44,58468333;1683278751;5;0,41;2,05;5;0,4;2
2676;2676,082;44,60136667;1683278752;5;0,41;2,05;5;0,4;2
2677;2677,084;44,61806667;1683278753;5;0,41;2,05;5;0,4;2
2678;2678,081;44,63468333;1683278754;5;0,41;2,05;5;0,4;2
2679;2679,081;44,65135;1683278755;5;0,41;2,05;5;0,4;2
2680;2680,081;44,66801667;1683278756;5;0,41;2,05;5;0,4;2
2681;2681,081;44,68468333;1683278757;5;0,41;2,05;5;0,4;2
2682;2682,082;44,70136667;1683278758;5;0,41;2,05;5;0,4;2
2683;2683,081;44,71801667;1683278759;5;0,41;2,05;5;0,4;2
2684;2684,082;44,7347;1683278760;5;0,41;2,05;5;0,4;2
2685;2685,081;44,75135;1683278761;5;0,46;2,3;5;0,4;2
2686;2686,081;44,76801667;1683278762;5;0,41;2,05;5;0,4;2
2687;2687,081;44,78468333;1683278763;5;0,41;2,05;5;0,4;2
2688;2688,081;44,80135;1683278764;5;0,41;2,05;5;0,4;2
2689;2689,081;44,81801667;1683278765;5;0,41;2,05;5;0,4;2
2690;2690,086;44,83476667;1683278766;5;0,41;2,05;5;0,4;2
2691;2691,081;44,85135;1683278767;5;0,41;2,05;5;0,4;2
2692;2692,081;44,86801667;1683278768;5;0,41;2,05;5;0,4;2
2693;2693,081;44,88468333;1683278769;5;0,41;2,05;5;0,44;2,2
2694;2694,081;44,90135;1683278770;5;0,44;2,2;5;0,47;2,35
2695;2695,081;44,91801667;1683278771;5;0,45;2,25;5;0,43;2,15
2696;2696,081;44,93468333;1683278772;5;0,45;2,25;5;0,45;2,25
2697;2697,081;44,95135;1683278773;5;0,44;2,2;5;0,47;2,35
2698;2698,082;44,96803333;1683278774;5;0,41;2,05;5;0,47;2,35
2699;2699,081;44,98468333;1683278775;5;0,46;2,3;5;0,45;2,25
2700;2700,081;45,00135;1683278776;5;0,45;2,25;5;0,45;2,25
2701;2701,081;45,01801667;1683278777;5;0,41;2,05;5;0,45;2,25
2702;2702,081;45,03468333;1683278778;5;0,44;2,2;5;0,45;2,25
2703;2703,081;45,05135;1683278779;5;0,45;2,25;5;0,47;2,35
2704;2704,081;45,06801667;1683278780;5;0,43;2,15;5;0,45;2,25
2705;2705,081;45,08468333;1683278781;5;0,46;2,3;5;0,44;2,2
2706;2706,081;45,10135;1683278782;5;0,46;2,3;5;0,43;2,15
2707;2707,081;45,11801667;1683278783;5;0,45;2,25;5;0,4;2
2708;2708,081;45,13468333;1683278784;5;0,46;2,3;5;0,42;2,1
2709;2709,081;45,15135;1683278785;5;0,41;2,05;5;0,45;2,25
2710;2710,081;45,16801667;1683278786;5;0,49;2,45;5;0,4;2
2711;2711,081;45,18468333;1683278787;5;0,41;2,05;5;0,45;2,25
2712;2712,081;45,20135;1683278788;5;0,43;2,15;5;0,45;2,25
2713;2713,081;45,21801667;1683278789;5;0,45;2,25;5;0,45;2,25
2714;2714,081;45,23468333;1683278790;5;0,43;2,15;5;0,45;2,25
2715;2715,081;45,25135;1683278791;5;0,46;2,3;5;0,45;2,25
2716;2716,086;45,2681;1683278792;5;0,46;2,3;5;0,42;2,1
2717;2717,082;45,2847;1683278793;5;0,41;2,05;5;0,45;2,25
2718;2718,081;45,30135;1683278794;5;0,45;2,25;5;0,43;2,15
2719;2719,081;45,31801667;1683278795;5;0,45;2,25;5;0,44;2,2
2720;2720,081;45,33468333;1683278796;5;0,46;2,3;5;0,45;2,25
2721;2721,081;45,35135;1683278797;5;0,45;2,25;5;0,45;2,25
2722;2722,081;45,36801667;1683278798;5;0,42;2,1;5;0,45;2,25
2723;2723,082;45,3847;1683278799;5;0,46;2,3;5;0,45;2,25
2724;2724,081;45,40135;1683278800;5;0,46;2,3;5;0,4;2
